id,Entity,Code,Day,stay_home_requirements
119091,Sweden,SWE,2021-04-22,1
119092,Sweden,SWE,2021-04-23,1
119093,Sweden,SWE,2021-04-24,1
119094,Sweden,SWE,2021-04-25,1
119095,Sweden,SWE,2021-04-26,1
119096,Sweden,SWE,2021-04-27,1
119097,Sweden,SWE,2021-04-28,1
119098,Sweden,SWE,2021-04-29,1
119099,Sweden,SWE,2021-04-30,1
119100,Sweden,SWE,2021-05-01,1
119101,Sweden,SWE,2021-05-02,1
119102,Sweden,SWE,2021-05-03,1
119103,Sweden,SWE,2021-05-04,1
119104,Sweden,SWE,2021-05-05,1
119105,Sweden,SWE,2021-05-06,1
119106,Sweden,SWE,2021-05-07,1
119107,Sweden,SWE,2021-05-08,1
119108,Sweden,SWE,2021-05-09,1
119109,Sweden,SWE,2021-05-10,1
119110,Sweden,SWE,2021-05-11,1
119111,Sweden,SWE,2021-05-12,1
119112,Sweden,SWE,2021-05-13,1
119113,Sweden,SWE,2021-05-14,1
119114,Sweden,SWE,2021-05-15,1
119115,Sweden,SWE,2021-05-16,1
119116,Sweden,SWE,2021-05-17,1
119117,Sweden,SWE,2021-05-18,1
119118,Sweden,SWE,2021-05-19,1
119119,Sweden,SWE,2021-05-20,1
119120,Sweden,SWE,2021-05-21,1
119121,Sweden,SWE,2021-05-22,1
119122,Sweden,SWE,2021-05-23,1
119123,Sweden,SWE,2021-05-24,1
119124,Sweden,SWE,2021-05-25,1
119125,Sweden,SWE,2021-05-26,1
119126,Sweden,SWE,2021-05-27,1
119127,Sweden,SWE,2021-05-28,1
119128,Sweden,SWE,2021-05-29,1
119129,Sweden,SWE,2021-05-30,1
119130,Sweden,SWE,2021-05-31,1
119131,Sweden,SWE,2021-06-01,1
119132,Sweden,SWE,2021-06-02,1
119133,Sweden,SWE,2021-06-03,1
119134,Sweden,SWE,2021-06-04,1
119135,Sweden,SWE,2021-06-05,1
119136,Sweden,SWE,2021-06-06,1
119137,Sweden,SWE,2021-06-07,1
119138,Sweden,SWE,2021-06-08,1
119139,Sweden,SWE,2021-06-09,1
119140,Sweden,SWE,2021-06-10,1
119141,Sweden,SWE,2021-06-11,1
119142,Sweden,SWE,2021-06-12,1
119143,Sweden,SWE,2021-06-13,1
119144,Sweden,SWE,2021-06-14,1
119145,Sweden,SWE,2021-06-15,1
119146,Sweden,SWE,2021-06-16,1
119147,Sweden,SWE,2021-06-17,1
119148,Sweden,SWE,2021-06-18,1
119149,Sweden,SWE,2021-06-19,1
119150,Sweden,SWE,2021-06-20,1
119151,Sweden,SWE,2021-06-21,1
119152,Sweden,SWE,2021-06-22,1
119153,Sweden,SWE,2021-06-23,1
119154,Sweden,SWE,2021-06-24,1
119155,Sweden,SWE,2021-06-25,1
119156,Sweden,SWE,2021-06-26,1
119157,Sweden,SWE,2021-06-27,1
119158,Sweden,SWE,2021-06-28,1
119159,Sweden,SWE,2021-06-29,1
119160,Sweden,SWE,2021-06-30,1
119161,Sweden,SWE,2021-07-01,1
119162,Sweden,SWE,2021-07-02,1
119163,Sweden,SWE,2021-07-03,1
119164,Sweden,SWE,2021-07-04,1
119165,Sweden,SWE,2021-07-05,1
119166,Sweden,SWE,2021-07-06,1
119167,Sweden,SWE,2021-07-07,1
119168,Sweden,SWE,2021-07-08,1
119169,Sweden,SWE,2021-07-09,1
119170,Sweden,SWE,2021-07-10,1
119171,Sweden,SWE,2021-07-11,1
119172,Sweden,SWE,2021-07-12,1
119173,Sweden,SWE,2021-07-13,1
119174,Sweden,SWE,2021-07-14,1
119175,Sweden,SWE,2021-07-15,1
119176,Sweden,SWE,2021-07-16,1
119177,Sweden,SWE,2021-07-17,1
119178,Sweden,SWE,2021-07-18,1
119179,Sweden,SWE,2021-07-19,1
119180,Sweden,SWE,2021-07-20,1
119181,Sweden,SWE,2021-07-21,1
119182,Sweden,SWE,2021-07-22,1
119183,Sweden,SWE,2021-07-23,1
119184,Sweden,SWE,2021-07-24,1
119185,Sweden,SWE,2021-07-25,1
119186,Sweden,SWE,2021-07-26,1
119187,Sweden,SWE,2021-07-27,1
119188,Sweden,SWE,2021-07-28,1
119189,Sweden,SWE,2021-07-29,1
119190,Sweden,SWE,2021-07-30,1
119191,Sweden,SWE,2021-07-31,1
119192,Sweden,SWE,2021-08-01,1
119193,Sweden,SWE,2021-08-02,1
119194,Sweden,SWE,2021-08-03,1
119195,Sweden,SWE,2021-08-04,1
119196,Sweden,SWE,2021-08-05,1
119197,Sweden,SWE,2021-08-06,1
119198,Sweden,SWE,2021-08-07,1
119199,Sweden,SWE,2021-08-08,1
