,Media_Adwell_upperfunnel_native,Media_Bing_lowerfunnel_search_brand,Media_Bing_midfunnel_search_midbrand,Media_Bing_upperfunnel_search_nobrand,Media_DBM_lowerfunnel_display,Media_DBM_midfunnel_display,Media_DBM_upperfunnel_display,Media_DBM_upperfunnel_video,Media_DC_DBM_upperfunnel_video,Media_Eurosize_upperfunnel_OOH_JCD,Media_Eurosize_upperfunnel_OOH_VA,Media_Facebook_lowerfunnel_display,Media_Facebook_lowerfunnel_video,Media_Facebook_upperfunnel_display,Media_Facebook_upperfunnel_video,Media_Flygstart_upperfunnel_newsletter,Media_Google_lowerfunnel_display,Media_Google_lowerfunnel_search_brand,Media_Google_midfunnel_display,Media_Google_midfunnel_search_midbrand,Media_Google_upperfunnel_display,Media_Google_upperfunnel_search_nobrand,Media_Google_video_lowerfunnel_Youtube,Media_Google_video_upperfunnel_Youtube,Media_HejSenior_upperfunnel_newsletter,Media_Instagram_lowerfunnel_display,Media_Instagram_lowerfunnel_video,Media_Instagram_upperfunnel_display,Media_Instagram_upperfunnel_video,Media_MediaMath_upperfunnel_video,Media_Newsletter_lowerfunnel,Media_Newsner_midfunnel_native,Media_Online_radio_upperfunnel,Media_Radio_upperfunnel,Media_Secreteescape_midfunnel_display,Media_Smarter_Travel_upperfunnel_affiliate,Media_Snapchat_upperfunnel_display,Media_Snapchat_upperfunnel_video,Media_Sociomantic_lowerfunnel_retarg_display,Media_Sociomantic_upperfunnel_prospecting_display,Media_TV_upperfunnel,Media_Tiktok_upperfunnel_video,Media_TradeTracker_upperfunnel_affiliate,Media_Youtube_Masthead_upperfunnel_video
2017-08-01,0,271.0,181.0,917.0,0.0,0.0,0.0,0,0.0,0,0,1827.0,0.0,46.0,94.0,0.0,745.0,563.0,5925.0,7845.0,5330.0,15237.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,12.0,0,0,0.0,0.0,0,0,0.0,0.0
2017-08-02,0,270.0,158.0,867.0,0.0,0.0,0.0,0,0.0,0,0,3600.0,0.0,47.0,61.0,0.0,584.0,747.0,5522.0,6152.0,5040.0,16014.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,16.0,0,0,0.0,0.0,0,0,0.0,0.0
2017-08-03,0,283.0,185.0,916.0,0.0,0.0,0.0,0,0.0,0,0,4054.0,0.0,31.0,82.0,0.0,772.0,572.0,6165.0,7621.0,5140.0,16563.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,12.0,0,0,0.0,0.0,0,0,0.0,0.0
2017-08-04,0,255.0,186.0,814.0,0.0,0.0,0.0,0,0.0,0,0,2494.0,0.0,37.0,74.0,0.0,785.0,612.0,5870.0,7070.0,3395.0,13456.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,12.0,0,0,0.0,0.0,0,0,0.0,0.0
2017-08-05,0,146.0,119.0,673.0,0.0,0.0,0.0,0,0.0,0,0,1874.0,0.0,38.0,62.0,0.0,618.0,515.0,6025.0,4970.0,2736.0,12973.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,11.0,0,0,0.0,0.0,0,0,0.0,0.0
2017-08-06,0,187.0,171.0,806.0,0.0,0.0,0.0,0,0.0,0,0,1958.0,0.0,64.0,77.0,0.0,767.0,738.0,5557.0,8341.0,3257.0,14514.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0,1576.0,0.0,0,0,0.0,9.0,0,0,0.0,0.0,0,0,0.0,0.0
2017-08-07,0,346.0,218.0,995.0,0.0,0.0,0.0,0,0.0,0,0,1786.0,0.0,51.0,61.0,0.0,656.0,857.0,6880.0,7243.0,3199.0,15129.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,6.0,0,0,0.0,0.0,0,0,0.0,0.0
2017-08-08,0,292.0,153.0,1022.0,0.0,0.0,0.0,0,0.0,0,0,1716.0,0.0,36.0,87.0,0.0,703.0,538.0,5306.0,7625.0,3139.0,13396.0,0.0,144.0,0.0,27.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,16.0,0,0,0.0,0.0,0,0,0.0,0.0
2017-08-09,0,288.0,158.0,949.0,0.0,0.0,0.0,0,0.0,0,0,1688.0,0.0,25.0,78.0,0.0,413.0,762.0,5285.0,6014.0,2329.0,14315.0,0.0,158.0,0.0,21.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,13.0,0,0,0.0,0.0,0,0,0.0,0.0
2017-08-10,0,275.0,154.0,928.0,0.0,0.0,0.0,0,0.0,0,0,1312.0,0.0,38.0,61.0,0.0,391.0,560.0,6191.0,7203.0,1729.0,12473.0,0.0,149.0,0.0,12.0,0.0,0.0,0.0,0,2490.0,0.0,0,0,0.0,11.0,0,0,0.0,0.0,0,0,0.0,0.0
2017-08-11,0,208.0,123.0,727.0,0.0,0.0,0.0,0,0.0,0,0,1257.0,0.0,28.0,64.0,0.0,303.0,544.0,12879.0,5566.0,1793.0,9507.0,0.0,164.0,0.0,5.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,15.0,0,0,0.0,0.0,0,0,0.0,0.0
2017-08-12,0,159.0,132.0,720.0,0.0,0.0,0.0,0,0.0,0,0,1247.0,0.0,26.0,78.0,0.0,279.0,534.0,11923.0,4648.0,2468.0,11057.0,0.0,185.0,0.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,17.0,0,0,0.0,0.0,0,0,0.0,0.0
2017-08-13,0,220.0,129.0,971.0,0.0,0.0,0.0,0,0.0,0,0,1358.0,0.0,43.0,101.0,0.0,366.0,736.0,11939.0,7777.0,2474.0,12161.0,0.0,146.0,0.0,5.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,14.0,0,0,0.0,0.0,0,0,0.0,0.0
2017-08-14,0,344.0,152.0,1026.0,0.0,0.0,0.0,0,0.0,0,0,1334.0,0.0,39.0,78.0,0.0,294.0,728.0,11498.0,6248.0,2061.0,12127.0,0.0,150.0,0.0,7.0,0.0,0.0,0.0,0,887.0,0.0,0,0,0.0,16.0,0,0,0.0,0.0,0,0,0.0,0.0
2017-08-15,0,321.0,156.0,953.0,0.0,0.0,0.0,0,0.0,0,0,1354.0,0.0,36.0,114.0,0.0,392.0,525.0,11606.0,7273.0,2207.0,12398.0,0.0,153.0,0.0,10.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,10.0,0,0,0.0,0.0,0,0,0.0,0.0
