Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Norsborg 2;97160;2.0

Parameternamn;Beskrivning;Enhet
Nederbörd;1 gång/dygn, kl 18;code

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1968-01-01 00:00:00;1974-12-31 23:59:59;15.0;59.2524;17.7989
1975-01-01 00:00:00;2022-02-28 23:59:59;8.671;59.2518;17.7960

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbörd;Kvalitet;;Tidsutsnitt:
1970-07-19 06:00:01;1970-07-20 06:00:00;1970-07-19;regnskurar;Y
1970-07-20 06:00:01;1970-07-21 06:00:00;1970-07-20;regn;Y
1970-07-21 06:00:01;1970-07-22 06:00:00;1970-07-21;regnskurar;Y
1970-07-22 06:00:01;1970-07-23 06:00:00;1970-07-22;regn;Y
1970-07-26 06:00:01;1970-07-27 06:00:00;1970-07-26;regn;Y
1970-07-27 06:00:01;1970-07-28 06:00:00;1970-07-27;regn;Y
1970-07-28 06:00:01;1970-07-29 06:00:00;1970-07-28;regn;Y
1970-08-05 06:00:01;1970-08-06 06:00:00;1970-08-05;regnskurar;Y
1970-08-09 06:00:01;1970-08-10 06:00:00;1970-08-09;regn;Y
1970-08-10 06:00:01;1970-08-11 06:00:00;1970-08-10;regnskurar;Y
1970-08-11 06:00:01;1970-08-12 06:00:00;1970-08-11;regn;Y
1970-08-17 06:00:01;1970-08-18 06:00:00;1970-08-17;regnskurar;Y
1970-08-23 06:00:01;1970-08-24 06:00:00;1970-08-23;regnskurar;Y
1970-08-24 06:00:01;1970-08-25 06:00:00;1970-08-24;regnskurar;Y
1970-09-03 06:00:01;1970-09-04 06:00:00;1970-09-03;regn;Y
1970-09-04 06:00:01;1970-09-05 06:00:00;1970-09-04;regnskurar;Y
1970-09-08 06:00:01;1970-09-09 06:00:00;1970-09-08;regn;Y
1970-09-09 06:00:01;1970-09-10 06:00:00;1970-09-09;regn;Y
1970-09-10 06:00:01;1970-09-11 06:00:00;1970-09-10;regn;Y
1970-09-11 06:00:01;1970-09-12 06:00:00;1970-09-11;regn;Y
1970-09-13 06:00:01;1970-09-14 06:00:00;1970-09-13;regn;Y
1970-09-15 06:00:01;1970-09-16 06:00:00;1970-09-15;regn;Y
1970-09-16 06:00:01;1970-09-17 06:00:00;1970-09-16;regn;Y
1970-09-20 06:00:01;1970-09-21 06:00:00;1970-09-20;regn;Y
1970-09-21 06:00:01;1970-09-22 06:00:00;1970-09-21;regnskurar;Y
1970-09-22 06:00:01;1970-09-23 06:00:00;1970-09-22;regnskurar;Y
1970-09-25 06:00:01;1970-09-26 06:00:00;1970-09-25;regnskurar;Y
1970-09-29 06:00:01;1970-09-30 06:00:00;1970-09-29;regnskurar;Y
1970-11-01 06:00:01;1970-11-02 06:00:00;1970-11-01;regn;Y
1970-11-01 06:00:01;1970-11-02 06:00:00;1970-11-01;snöblandat regn;Y
1970-11-03 06:00:01;1970-11-04 06:00:00;1970-11-03;snöbyar;Y
1970-11-04 06:00:01;1970-11-05 06:00:00;1970-11-04;snöblandat regn;Y
1970-11-05 06:00:01;1970-11-06 06:00:00;1970-11-05;snöbyar;Y
1970-11-07 06:00:01;1970-11-08 06:00:00;1970-11-07;snöbyar;Y
1970-11-08 06:00:01;1970-11-09 06:00:00;1970-11-08;snöblandat regn;Y
1970-11-09 06:00:01;1970-11-10 06:00:00;1970-11-09;snöblandat regn;Y
1970-11-10 06:00:01;1970-11-11 06:00:00;1970-11-10;snowfall;Y
1970-11-11 06:00:01;1970-11-12 06:00:00;1970-11-11;snowfall;Y
1970-11-12 06:00:01;1970-11-13 06:00:00;1970-11-12;regn;Y
1970-11-13 06:00:01;1970-11-14 06:00:00;1970-11-13;regn;Y
1970-11-15 06:00:01;1970-11-16 06:00:00;1970-11-15;regn;Y
1970-11-16 06:00:01;1970-11-17 06:00:00;1970-11-16;snöblandat regn;Y
1970-11-17 06:00:01;1970-11-18 06:00:00;1970-11-17;regn;Y
1970-11-18 06:00:01;1970-11-19 06:00:00;1970-11-18;regn;Y
1970-11-19 06:00:01;1970-11-20 06:00:00;1970-11-19;regn;Y
1970-11-20 06:00:01;1970-11-21 06:00:00;1970-11-20;regn;Y
1970-11-22 06:00:01;1970-11-23 06:00:00;1970-11-22;regn;Y
1970-11-23 06:00:01;1970-11-24 06:00:00;1970-11-23;regn;Y
1970-11-24 06:00:01;1970-11-25 06:00:00;1970-11-24;regn;Y
1970-12-01 06:00:01;1970-12-02 06:00:00;1970-12-01;regn;Y
1970-12-02 06:00:01;1970-12-03 06:00:00;1970-12-02;regn;Y
1970-12-06 06:00:01;1970-12-07 06:00:00;1970-12-06;regn;Y
