Date,Open,High,Low,Close
04/03/2019,"13.06","14.27","12.85","13.74"
04/02/2019,"13.62","13.68","13.13","13.36"
04/01/2019,"13.90","14.01","13.32","13.40"
03/29/2019,"14.19","14.43","13.64","13.71"
03/28/2019,"15.38","15.62","14.41","14.43"
03/27/2019,"14.52","16.71","14.51","15.15"
03/26/2019,"16.22","16.30","14.67","14.68"
03/25/2019,"17.76","17.85","16.26","16.33"
03/22/2019,"13.77","17.52","13.62","16.48"
03/21/2019,"14.11","14.56","13.26","13.63"
03/20/2019,"13.54","14.30","13.05","13.91"
03/19/2019,"12.89","13.77","12.37","13.56"
03/18/2019,"13.13","13.80","13.00","13.10"
03/15/2019,"13.21","13.28","12.50","12.88"
03/14/2019,"13.35","13.84","13.16","13.50"
03/13/2019,"14.00","14.05","13.25","13.41"
03/12/2019,"13.97","14.70","13.61","13.77"
03/11/2019,"16.28","16.43","14.33","14.33"
03/08/2019,"17.38","18.33","16.02","16.05"
03/07/2019,"16.33","17.81","15.54","16.59"
03/06/2019,"14.91","16.11","14.74","15.74"
03/05/2019,"14.52","15.39","14.26","14.74"
03/04/2019,"13.77","16.98","13.38","14.63"
03/01/2019,"14.57","14.84","13.41","13.57"
02/28/2019,"15.17","15.24","14.39","14.78"
02/27/2019,"15.53","16.17","14.70","14.70"
02/26/2019,"15.16","15.28","14.52","15.17"
02/25/2019,"13.91","14.90","13.44","14.85"
02/22/2019,"14.46","14.47","13.51","13.51"
02/21/2019,"14.00","15.17","13.85","14.46"
02/20/2019,"14.92","15.19","13.99","14.02"
02/19/2019,"15.65","16.16","14.64","14.88"
